"days","degdays","subj","taxon","counts","fracBySubjDay"
0,0,"A1","Acari",1,3.61284728494527e-05
0,0,"A1","Agaricales",11,0.000397413201343979
0,0,"A1","Ascaridida",30,0.00108385418548358
0,0,"A1","Asterales",23,0.000830954875537411
0,0,"A1","Bacillariophytina",578,0.0208822573069836
0,0,"A1","Capnodiales",217,0.00783987860833123
0,0,"A1","Chaetothyriales",3,0.000108385418548358
0,0,"A1","Chlamydomonadales",350,0.0126449654973084
0,0,"A1","Chromulinales",123,0.00444380216048268
0,0,"A1","Coccidia",97,0.00350446186639691
0,0,"A1","Coleoptera",6,0.000216770837096716
0,0,"A1","Collembola",4,0.000144513891397811
0,0,"A1","Conthreep",896,0.0323711116731096
0,0,"A1","Cryomonadida",476,0.0171971530763395
0,0,"A1","Diptera",589,0.0212796705083276
0,0,"A1","Eurotiales",2218,0.080132952780086
0,0,"A1","Eustigmatales",311,0.0112359550561798
0,0,"A1","Fabales",23,0.000830954875537411
0,0,"A1","Filobasidiales",749,0.02706022616424
0,0,"A1","Gregarinasina",1,3.61284728494527e-05
0,0,"A1","Liliopsida",1653,0.0597203656201452
0,0,"A1","Litostomatea",2913,0.105242241410456
0,0,"A1","Malasseziales",38,0.0013728819682792
0,0,"A1","Metakinetoplastina",52,0.00187868058817154
0,0,"A1","Mucorales",1336,0.0482676397268687
0,0,"A1","Opiliones",0,0
0,0,"A1","Peronosporomycetes",577,0.0208461288341342
0,0,"A1","Pleosporales",265,0.00957404530510495
0,0,"A1","Polyporales",14,0.000505798619892337
0,0,"A1","Ranunculales",4,0.000144513891397811
0,0,"A1","Rare",1767,0.0638390115249828
0,0,"A1","Rhabditida",1975,0.071353733877669
0,0,"A1","Saccharomycetales",6522,0.23562989992413
0,0,"A1","Sapindales",197,0.00711730915134217
0,0,"A1","Schizosaccharomycetales",0,0
0,0,"A1","Spirotrichea",308,0.0111275696376314
0,0,"A1","Sporidiobolales",160,0.00578055565591242
0,0,"A1","Taphrinales",46,0.00166190975107482
0,0,"A1","Tremellales",51,0.00184255211532209
0,0,"A1","Trichosporonales",3095,0.111817623469056
0,0,"A2","Acari",4,0.000641848523748395
0,0,"A2","Agaricales",1,0.000160462130937099
0,0,"A2","Ascaridida",131,0.0210205391527599
0,0,"A2","Asterales",0,0
0,0,"A2","Bacillariophytina",3,0.000481386392811297
0,0,"A2","Capnodiales",40,0.00641848523748395
0,0,"A2","Chaetothyriales",1,0.000160462130937099
0,0,"A2","Chlamydomonadales",9,0.00144415917843389
0,0,"A2","Chromulinales",2,0.000320924261874198
0,0,"A2","Coccidia",8,0.00128369704749679
0,0,"A2","Coleoptera",21,0.00336970474967908
0,0,"A2","Collembola",0,0
0,0,"A2","Conthreep",64,0.0102695763799743
0,0,"A2","Cryomonadida",20,0.00320924261874198
0,0,"A2","Diptera",304,0.0487804878048781
0,0,"A2","Eurotiales",394,0.0632220795892169
0,0,"A2","Eustigmatales",0,0
0,0,"A2","Fabales",16,0.00256739409499358
0,0,"A2","Filobasidiales",255,0.0409178433889602
0,0,"A2","Gregarinasina",0,0
0,0,"A2","Liliopsida",69,0.0110718870346598
0,0,"A2","Litostomatea",680,0.109114249037227
0,0,"A2","Malasseziales",4,0.000641848523748395
0,0,"A2","Metakinetoplastina",4,0.000641848523748395
0,0,"A2","Mucorales",252,0.0404364569961489
0,0,"A2","Opiliones",0,0
0,0,"A2","Peronosporomycetes",5,0.000802310654685494
0,0,"A2","Pleosporales",167,0.0267971758664955
0,0,"A2","Polyporales",0,0
0,0,"A2","Ranunculales",0,0
0,0,"A2","Rare",125,0.0200577663671374
0,0,"A2","Rhabditida",1869,0.299903722721438
0,0,"A2","Saccharomycetales",985,0.158055198973042
0,0,"A2","Sapindales",0,0
0,0,"A2","Schizosaccharomycetales",0,0
0,0,"A2","Spirotrichea",5,0.000802310654685494
0,0,"A2","Sporidiobolales",28,0.00449293966623877
0,0,"A2","Taphrinales",1,0.000160462130937099
0,0,"A2","Tremellales",10,0.00160462130937099
0,0,"A2","Trichosporonales",755,0.12114890885751
0,0,"A3","Acari",0,0
0,0,"A3","Agaricales",6,0.000287590471169055
0,0,"A3","Ascaridida",17,0.000814839668312323
0,0,"A3","Asterales",0,0
0,0,"A3","Bacillariophytina",0,0
0,0,"A3","Capnodiales",63,0.00301969994727508
0,0,"A3","Chaetothyriales",3,0.000143795235584528
0,0,"A3","Chlamydomonadales",32,0.00153381584623496
0,0,"A3","Chromulinales",21,0.00100656664909169
0,0,"A3","Coccidia",54,0.0025883142405215
0,0,"A3","Coleoptera",3,0.000143795235584528
0,0,"A3","Collembola",0,0
0,0,"A3","Conthreep",113,0.00541628720701721
0,0,"A3","Cryomonadida",1,4.79317451948425e-05
0,0,"A3","Diptera",1023,0.0490341753343239
0,0,"A3","Eurotiales",1441,0.0690696448257681
0,0,"A3","Eustigmatales",0,0
0,0,"A3","Fabales",35,0.00167761108181949
0,0,"A3","Filobasidiales",937,0.0449120452475675
0,0,"A3","Gregarinasina",0,0
0,0,"A3","Liliopsida",256,0.0122705267698797
0,0,"A3","Litostomatea",8236,0.394765853424723
0,0,"A3","Malasseziales",45,0.00215692853376791
0,0,"A3","Metakinetoplastina",125,0.00599146814935532
0,0,"A3","Mucorales",702,0.0336480851267795
0,0,"A3","Opiliones",0,0
0,0,"A3","Peronosporomycetes",0,0
0,0,"A3","Pleosporales",90,0.00431385706753583
0,0,"A3","Polyporales",7,0.000335522216363898
0,0,"A3","Ranunculales",0,0
0,0,"A3","Rare",325,0.0155778171883238
0,0,"A3","Rhabditida",2336,0.111968556775152
0,0,"A3","Saccharomycetales",2274,0.108996788573072
0,0,"A3","Sapindales",4,0.00019172698077937
0,0,"A3","Schizosaccharomycetales",0,0
0,0,"A3","Spirotrichea",30,0.00143795235584528
0,0,"A3","Sporidiobolales",93,0.00445765230312036
0,0,"A3","Taphrinales",0,0
0,0,"A3","Tremellales",28,0.00134208886545559
0,0,"A3","Trichosporonales",2563,0.122849062934381
0,0,"A4","Acari",1,3.84763370527126e-05
0,0,"A4","Agaricales",3,0.000115429011158138
0,0,"A4","Ascaridida",561,0.0215852250865718
0,0,"A4","Asterales",0,0
0,0,"A4","Bacillariophytina",0,0
0,0,"A4","Capnodiales",198,0.00761831473643709
0,0,"A4","Chaetothyriales",5,0.000192381685263563
0,0,"A4","Chlamydomonadales",140,0.00538668718737976
0,0,"A4","Chromulinales",8,0.000307810696421701
0,0,"A4","Coccidia",24,0.000923432089265102
0,0,"A4","Coleoptera",2,7.69526741054252e-05
0,0,"A4","Collembola",0,0
0,0,"A4","Conthreep",68,0.00261639091958446
0,0,"A4","Cryomonadida",4,0.00015390534821085
0,0,"A4","Diptera",1389,0.0534436321662178
0,0,"A4","Eurotiales",1031,0.0396691035013467
0,0,"A4","Eustigmatales",0,0
0,0,"A4","Fabales",12,0.000461716044632551
0,0,"A4","Filobasidiales",1388,0.0534051558291651
0,0,"A4","Gregarinasina",0,0
0,0,"A4","Liliopsida",628,0.0241631396691035
0,0,"A4","Litostomatea",967,0.0372066179299731
0,0,"A4","Malasseziales",10,0.000384763370527126
0,0,"A4","Metakinetoplastina",8,0.000307810696421701
0,0,"A4","Mucorales",1901,0.0731435167372066
0,0,"A4","Opiliones",0,0
0,0,"A4","Peronosporomycetes",0,0
0,0,"A4","Pleosporales",144,0.00554059253559061
0,0,"A4","Polyporales",11,0.000423239707579838
0,0,"A4","Ranunculales",0,0
0,0,"A4","Rare",322,0.0123893805309735
0,0,"A4","Rhabditida",8707,0.335013466717968
0,0,"A4","Saccharomycetales",3588,0.138053097345133
0,0,"A4","Sapindales",10,0.000384763370527126
0,0,"A4","Schizosaccharomycetales",0,0
0,0,"A4","Spirotrichea",12,0.000461716044632551
0,0,"A4","Sporidiobolales",186,0.00715659869180454
0,0,"A4","Taphrinales",0,0
0,0,"A4","Tremellales",50,0.00192381685263563
0,0,"A4","Trichosporonales",4612,0.17745286648711
0,0,"A5","Acari",0,0
0,0,"A5","Agaricales",0,0
0,0,"A5","Ascaridida",1,0.000286861732644865
0,0,"A5","Asterales",0,0
0,0,"A5","Bacillariophytina",2,0.00057372346528973
0,0,"A5","Capnodiales",3,0.000860585197934596
